alpha,dcor,test_acc,mse,psnr,ssim,lpips
0.1,0.09393516979204529,0.9447,0.024976735746860504,30.344162958855147,0.9579526035308837,0.004659461408853531
0.5,0.04902883870575655,0.9441,0.043145896261930466,28.0733277271223,0.9345004402160645,
1.0,0.047909201376751295,0.9402,0.07119327555894851,25.870964673747924,0.9037779711723327,
