epoch,train_mse,test_mse,test_psnr,test_ssim,test_lpips,epoch_time
1,0.13133503007411956,0.018117982071638106,32.09656053024295,0.9752435225486755,0.003591964005306363,19.534374713897705
2,0.014585188612043857,,,,,9.751774787902832
3,0.0101008514803648,,,,,10.154057741165161
4,0.008382113711833955,,,,,10.379801034927368
5,0.007279802740216255,0.00847682536765933,35.29065833775002,0.9884877809524536,0.0013415782667696476,18.50353169441223
6,0.006640880322754383,,,,,10.062382459640503
7,0.0057085703666508196,,,,,10.113354921340942
8,0.005334909515827894,,,,,10.08840537071228
9,0.004895737465620041,,,,,10.21812629699707
10,0.0048849061861634254,0.0037519021451473235,38.97128944420202,0.9931941747665405,0.0006883482063189148,19.270689725875854
11,0.004517004274502396,,,,,10.459993600845337
12,0.004192620416805148,,,,,10.197957992553711
13,0.004012262765616179,,,,,10.382770776748657
14,0.003840375245064497,,,,,10.165667057037354
15,0.0038786838582158087,0.0035891130529344083,39.25270786647185,0.994244721031189,0.0006000084321014583,18.771767377853394
16,0.003574408383369446,,,,,10.154934167861938
17,0.0033838325101882218,,,,,10.08578085899353
18,0.003458512006253004,,,,,10.723841905593872
19,0.0031807039825618266,,,,,10.500993251800537
20,0.0032659716230630876,0.0037696862351149323,38.867056426200314,0.994280523109436,0.0004917922725901008,19.29868793487549
21,0.002991069076359272,,,,,10.361445903778076
22,0.0030509912887215613,,,,,10.581953525543213
23,0.0028950856576114895,,,,,10.066726446151733
24,0.0027484898275882005,,,,,10.059827089309692
25,0.002705251501426101,0.0024292236771434545,40.93258860226974,0.9954900702476501,0.0003809606596827507,18.807042598724365
26,0.0027296780440211298,,,,,10.244169473648071
27,0.002605413892492652,,,,,10.140400409698486
28,0.0025642992082983256,,,,,10.1451895236969
29,0.002536339323669672,,,,,10.760565042495728
30,0.002531149231493473,0.004174278083443642,38.30999025653814,0.9952589102745056,0.0006571185979992151,19.16990852355957
