sigma,test_acc,mse,psnr,ssim,lpips
0.1,0.9474,0.005589203419536352,36.837421859562895,0.9888615020751953,0.001022645003721118
0.5,0.9456,0.022967465138435363,30.590456345237982,0.9588597948074341,0.003908388257026672
1.0,0.9427,0.03992421280741692,28.16045149683209,0.9330970628738403,0.007080025208741426
