sigma_dp,clip_norm,epsilon,delta,test_acc,mse,psnr,ssim,lpips
0.5,1.0,24.650540004828194,1e-05,0.9226,0.007155736704170704,35.911003002118456,0.9937681193351746,0.0016803024996072055
1.0,1.0,3.4059133699636006,1e-05,0.9193,0.003195470581948757,39.39361177182918,0.9948051982879639,0.0006326396480202675
2.0,1.0,1.3310199034815602,1e-05,0.9207,0.005367675089836121,37.15588149098757,0.992279670906067,0.0013196261513978244
