epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,2.0432306748199465,0.2629,1.6225640636444092,0.3909,0.1,11.984841346740723
2,1.4329118824005127,0.47078,1.2413721101760864,0.5461,0.1,11.780097961425781
3,1.113057379722595,0.59806,1.038351481628418,0.6227,0.1,12.245973110198975
4,0.9214102729415894,0.6751,0.9344152168273926,0.6743,0.1,11.551953554153442
5,0.7683685922050476,0.72964,0.9611617210388184,0.6839,0.1,11.406038284301758
6,0.6629925290489197,0.77184,0.8300958547592163,0.7273,0.1,11.634060144424438
7,0.5977466306686401,0.79312,0.7865336450576782,0.7428,0.1,11.775415897369385
8,0.5474263083076477,0.813,0.6600543522834778,0.7688,0.1,11.473289251327515
9,0.5122250818443298,0.82672,0.6743008072853088,0.7807,0.1,11.190780878067017
10,0.49111689517974855,0.83138,0.6011990137577057,0.7949,0.1,11.430847644805908
11,0.4767647374343872,0.83652,0.6660136426448822,0.7837,0.1,11.438241243362427
12,0.4544695672035217,0.84376,0.592059976196289,0.8083,0.1,11.764894962310791
13,0.43950839952468873,0.8491,0.5950766969680786,0.8061,0.1,11.590612649917603
14,0.43198725273132327,0.8521,0.5901061088562012,0.7956,0.1,11.51895809173584
15,0.422141410779953,0.8552,0.5451865869522095,0.815,0.1,11.998854637145996
16,0.4121958267879486,0.85846,0.5551745309829712,0.8127,0.1,11.51247525215149
17,0.3999733753585815,0.86422,0.4662581893444061,0.8417,0.1,11.84400486946106
18,0.3959221371269226,0.86564,0.6017322660446167,0.808,0.1,11.341890573501587
19,0.385763951883316,0.86784,0.5334715911388397,0.824,0.1,11.446268320083618
20,0.3831546932411194,0.87016,0.6271971504211425,0.7965,0.1,12.187766551971436
21,0.38191137389183044,0.86984,0.6154746037721633,0.8056,0.1,11.425440073013306
22,0.3835364744567871,0.86864,0.5044534644126892,0.8376,0.1,11.971715927124023
23,0.37422606271743775,0.8721,0.44889739124774936,0.8501,0.1,11.41256308555603
24,0.3702186790752411,0.87304,0.5931403020858764,0.8158,0.1,11.586647033691406
25,0.36185675159454345,0.87706,0.5326785588264465,0.8235,0.1,11.655179977416992
26,0.3632906146526337,0.87676,0.6593119448661804,0.7998,0.1,11.587174892425537
27,0.3547556633853912,0.87882,0.4956214727401733,0.8394,0.1,11.669258832931519
28,0.35942730127334593,0.87722,0.49013178987503053,0.8332,0.1,11.759774684906006
29,0.3516994572067261,0.88132,0.5129437296390533,0.8314,0.1,11.344654321670532
30,0.355276567401886,0.87882,0.5987760890007019,0.7976,0.1,11.69821047782898
31,0.3488156220054626,0.88108,0.5175362988471985,0.8296,0.1,12.127760648727417
32,0.3500101484775543,0.88186,0.4260500075340271,0.8545,0.1,11.432414054870605
33,0.3409906977939606,0.88242,0.48686502742767335,0.8363,0.1,11.41340446472168
34,0.3454521662521362,0.88364,0.4836755401611328,0.8391,0.1,11.604775190353394
35,0.3438134674835205,0.88266,0.6100715023517609,0.8055,0.1,11.95929479598999
36,0.3434997379875183,0.88272,0.47149181098937987,0.8445,0.1,11.39024567604065
37,0.34215159950256346,0.88324,0.5137440574645996,0.8359,0.1,11.471219301223755
38,0.3482392702674866,0.8819,0.6858722856998444,0.7825,0.1,11.699329614639282
39,0.3349029349899292,0.88538,0.5181225598335266,0.8296,0.1,11.870510339736938
40,0.3348872761631012,0.88466,0.5441987966537476,0.8197,0.1,11.550480127334595
41,0.33721809644699097,0.88558,0.7319437485218048,0.7804,0.1,12.498831272125244
42,0.3341759570503235,0.8872,0.4967427963256836,0.8431,0.1,11.594931602478027
43,0.33657563678741453,0.88574,0.676392757987976,0.8018,0.1,11.833704233169556
44,0.33379475496292116,0.88808,0.5837789003372192,0.8073,0.1,11.549447298049927
45,0.3261010478019714,0.88858,0.42508602967262266,0.8604,0.1,11.542499780654907
46,0.3370753357410431,0.8866,0.47879992485046385,0.8468,0.1,11.609026432037354
47,0.33245327343940734,0.887,0.4586354181289673,0.841,0.1,11.308497667312622
48,0.32995829217910766,0.88744,0.47010018219947813,0.8448,0.1,11.95216155052185
49,0.32504667666435244,0.88964,0.6682594898223877,0.7905,0.1,11.438819408416748
50,0.33113853925704956,0.88888,0.38797253442704677,0.8696,0.1,11.681144714355469
51,0.17426293794631958,0.94284,0.2201190589517355,0.9283,0.010000000000000002,11.891077995300293
52,0.1284287328004837,0.95756,0.20577938986718655,0.9298,0.010000000000000002,11.43948745727539
53,0.10807577118635178,0.96348,0.20183694582134484,0.9343,0.010000000000000002,11.249685764312744
54,0.0924843606209755,0.96944,0.21034962122142314,0.932,0.010000000000000002,11.257171392440796
55,0.08579495475053787,0.97124,0.20682976490855218,0.9338,0.010000000000000002,11.79728364944458
56,0.07478174430131912,0.9746,0.20165075507164001,0.9365,0.010000000000000002,11.729984521865845
57,0.06784097476243973,0.97784,0.20807587556838988,0.9358,0.010000000000000002,11.382209539413452
58,0.06147768801927567,0.97942,0.2158094702333212,0.9356,0.010000000000000002,11.34461784362793
59,0.05798591470718384,0.98078,0.2209106905773282,0.933,0.010000000000000002,11.15821123123169
60,0.05252021004796028,0.9827,0.22125661326423288,0.9337,0.010000000000000002,11.498656272888184
61,0.04654648381233215,0.98554,0.2320037825461477,0.9312,0.010000000000000002,11.478398561477661
62,0.04485766749620437,0.98556,0.22672408943623304,0.9332,0.010000000000000002,11.934693098068237
63,0.040938804342746736,0.98638,0.23292236866801977,0.9334,0.010000000000000002,12.193257570266724
64,0.03905909193992615,0.98704,0.23513017861843108,0.9331,0.010000000000000002,11.684299230575562
65,0.04141373000383377,0.98652,0.22857475577201694,0.9344,0.010000000000000002,11.377514839172363
66,0.03902088398218155,0.98692,0.25545833294391634,0.929,0.010000000000000002,11.765823364257812
67,0.03774358022809029,0.98772,0.25614084186553954,0.9278,0.010000000000000002,11.75279188156128
68,0.03649822675347328,0.98782,0.24393913209438323,0.9324,0.010000000000000002,11.844200134277344
69,0.03726406005084515,0.98792,0.2456638902887702,0.9344,0.010000000000000002,11.8193998336792
70,0.036409266012907025,0.98812,0.25988047610372306,0.9279,0.010000000000000002,11.402426719665527
71,0.03717117629647255,0.98796,0.23655311836674808,0.9347,0.010000000000000002,11.394688367843628
72,0.034655739941596986,0.98886,0.246700346621871,0.9314,0.010000000000000002,11.377735137939453
73,0.03539461458146572,0.98836,0.2599942453145981,0.9272,0.010000000000000002,11.801354885101318
74,0.039174203233122824,0.98748,0.26522440550625326,0.9284,0.010000000000000002,11.343825578689575
75,0.03608385388016701,0.98806,0.2555228548884392,0.9302,0.010000000000000002,11.515107154846191
76,0.021317458682656287,0.99382,0.21291840875148774,0.9417,0.0010000000000000002,11.590362310409546
77,0.014698522505760193,0.99636,0.2096852571964264,0.9423,0.0010000000000000002,11.462956190109253
78,0.011850186933130025,0.99724,0.20862420873641968,0.9431,0.0010000000000000002,12.089945077896118
79,0.010495858388841152,0.9976,0.20920657932758333,0.9426,0.0010000000000000002,11.25930643081665
80,0.00916878236502409,0.99808,0.2075097264289856,0.9439,0.0010000000000000002,11.492165327072144
81,0.009313487603515386,0.9982,0.20841844725608827,0.9451,0.0010000000000000002,12.051887035369873
82,0.007680135169923306,0.99866,0.207992498254776,0.9447,0.0010000000000000002,11.872981309890747
83,0.007856375094354153,0.99842,0.20937391200065614,0.944,0.0010000000000000002,12.080244779586792
84,0.007286107825934887,0.99868,0.20589140901565553,0.9449,0.0010000000000000002,11.646419525146484
85,0.007027569228410721,0.99886,0.20906977310180663,0.9451,0.0010000000000000002,11.322223663330078
86,0.006691439472734928,0.99882,0.21267981305122374,0.9441,0.0010000000000000002,11.331467151641846
87,0.006358624086976052,0.99876,0.20807552971839904,0.9447,0.0010000000000000002,11.486346006393433
88,0.006678698930442333,0.99864,0.20963799233436584,0.9457,0.0010000000000000002,11.8805673122406
89,0.0059929493109881875,0.99884,0.20913440837860106,0.9457,0.0010000000000000002,11.818994045257568
90,0.005584047017693519,0.99914,0.21158762807846068,0.945,0.0010000000000000002,11.422064542770386
91,0.0049631226782500745,0.99936,0.21207690777778626,0.9449,0.0010000000000000002,11.496556997299194
92,0.005138078128695488,0.9992,0.21029173789024352,0.9462,0.0010000000000000002,11.233858585357666
93,0.0051077441665530205,0.99922,0.21145563735961914,0.946,0.0010000000000000002,11.534409046173096
94,0.005007367296069861,0.9992,0.21103961267471313,0.9471,0.0010000000000000002,11.861730813980103
