epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
25,0.3835457863807678,0.87022,0.7289416097640992,0.7666,0.1,12.00270128250122
26,0.37619225172996523,0.87114,0.5707285959243774,0.8142,0.1,11.755648851394653
27,0.3736219035148621,0.87252,0.5249360061645508,0.8293,0.1,11.802311897277832
28,0.3685020654678345,0.8736,0.7100955477714539,0.7807,0.1,12.478900671005249
29,0.37066182901382444,0.87434,0.485849969291687,0.8369,0.1,12.347368955612183
30,0.36645324684143066,0.87374,0.4701173518657684,0.8432,0.1,12.041998624801636
31,0.36111033456802366,0.87684,0.5127441326141358,0.8293,0.1,11.499164819717407
32,0.3646465122413635,0.87414,0.5569598146915435,0.8192,0.1,11.786217212677002
33,0.3569888334083557,0.8775,0.46180234327316283,0.843,0.1,12.101463079452515
34,0.361012886428833,0.87702,0.5251083070755005,0.8282,0.1,11.79204249382019
35,0.35315931869506834,0.87828,0.49028301887512205,0.8415,0.1,12.723493337631226
36,0.3539266788673401,0.87984,0.5260283945083618,0.826,0.1,12.173436880111694
37,0.3518679065799713,0.88086,0.5776707843780517,0.8174,0.1,12.083925247192383
38,0.3505098304843903,0.88094,0.44791825828552245,0.852,0.1,12.17012906074524
39,0.34866198362350465,0.88104,0.6226372438430786,0.8037,0.1,11.608283042907715
40,0.34698232664108275,0.8819,0.45519605164527893,0.8441,0.1,12.484243154525757
41,0.3477181904888153,0.8812,0.6689782541275024,0.7907,0.1,11.992063760757446
42,0.3449977883911133,0.88238,0.5852556045532227,0.8069,0.1,11.951365232467651
43,0.34037665011882784,0.88474,0.5874190214633942,0.8134,0.1,11.81169581413269
44,0.34354459981918334,0.88238,0.5929621930599213,0.7972,0.1,11.926785230636597
45,0.33475878985404967,0.885,0.44009631650447845,0.8563,0.1,12.080428838729858
46,0.3413254150009155,0.88344,0.6433959274291993,0.7972,0.1,11.816733360290527
47,0.34112079716682436,0.88384,0.4502350074291229,0.8518,0.1,11.770236253738403
48,0.3428769565010071,0.88346,0.5905043903350831,0.8124,0.1,11.939865350723267
49,0.33849545422554017,0.88454,0.5607420849561692,0.8222,0.1,11.715433597564697
50,0.33885455829143524,0.88382,0.454274933052063,0.8517,0.1,11.892893314361572
51,0.18644694539546966,0.9385,0.22630849034786224,0.9243,0.010000000000000002,11.680177688598633
52,0.13579015774965286,0.95342,0.21345824346542358,0.9319,0.010000000000000002,11.87821078300476
53,0.11707790889978409,0.96068,0.2099471343755722,0.931,0.010000000000000002,12.485733270645142
54,0.1017006519985199,0.96658,0.21195049526691437,0.9312,0.010000000000000002,11.697395086288452
55,0.08999714632749557,0.96988,0.20336254812479018,0.934,0.010000000000000002,11.88329005241394
56,0.0790178895831108,0.97394,0.21238523209095,0.9331,0.010000000000000002,11.895008325576782
